video_id,channel_id,channel_title,title,view_count,like_count,comment_count,published_at,outlier_score
oDFmKDVqYhY,UC8hRZgzTh25ZgpStQCBWOLg,Info Sphere - Personal Finance & Wealth Building,UBER Cab Business-How To Start Business With Uber How To Attach Your Car& Earn Above Lakh Each month,93679,1089,131,2016-11-13 18:35:30+03:00,0.961
ZXlGDFdh1Bg,UCMw07uiVxGULqePlrOZnx9A,Personal Finance with Leila - Debt Over It,people share how they spend their money,16836,596,103,2026-05-22 03:06:11+03:00,0.96
3imrkiujYi4,UCgqU4kDON1LwuBbtmlSO9-g,Panda Boss - Personal Finance & Bossing Life,9 Side Hustle Ideas I’ve Tested & Recommend You Try,1759,52,8,2026-04-06 21:24:18+03:00,0.9566
j9Z3xpiE0R4,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,The Market is preparing for UNBELIEVABLE MOVE‼️,152643,8467,1430,2026-06-04 03:57:24+03:00,0.9529
Nv5CiRSCVxA,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,The Case for Index Funds,270957,8893,778,2025-02-16 16:00:34+03:00,0.9525
N5v2b42i_2g,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,This Paper Could Change How You Invest,318855,9489,457,2026-03-22 13:00:00+03:00,0.9514
p25PPBgMiEk,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,Choosing an Asset Allocation (How Much in Stocks vs. Bonds?),261984,7341,527,2025-02-02 16:01:02+03:00,0.9497
-NJoYL0DLAE,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,5 Stocks I’m Buying Now‼️April 2026,97637,5627,821,2026-04-03 02:55:53+03:00,0.9495
iZFQoqQbf5s,UC9TwYQOO9mAxoF4v8ZioySg,Tom Crosshill,How to Never Go Broke if You Live in Europe,159030,3306,187,2026-02-05 21:00:47+03:00,0.9451
JrRE9eFUDuI,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,4 Stocks to Buy Now‼️ May 2026,147213,8449,1212,2026-05-05 03:00:28+03:00,0.9437
ljWJDprZM4o,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,Once in a generation move just started‼️,115583,8504,3505,2026-04-16 02:33:10+03:00,0.9343
lBG-g1CKfgs,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,20 Years of Renting vs. Buying a Home in Canada (2005 to 2024),261517,5851,1474,2025-06-22 15:01:34+03:00,0.9288
xUnJJfb_gT0,UC9TwYQOO9mAxoF4v8ZioySg,Tom Crosshill,Will Iran Oil Shock Lead to Stock Crash? (European Investor),120807,2306,131,2026-03-17 20:01:24+03:00,0.9115
FLfRxSDaKUw,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,This stock is ready to EXPLODE‼️,139163,8635,1633,2026-06-09 02:34:30+03:00,0.9087
32SnTUtdsOI,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,"""What About Warren Buffett?""",248629,7892,594,2024-12-22 16:00:03+03:00,0.9036
n2QThyMF97k,UCN2kIpBA_A3aVjcR67HnFng,My Personal Finances,WVA: How Financial Planner Samantha Yeoh helped Nurliyana to feel more in control of her finances,64,1,0,2021-11-06 14:17:58+03:00,0.9035
xpMrS1V6-Rw,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,This 1 Stock SOARS starting tomorrow‼️,112448,5714,922,2026-07-23 04:30:02+03:00,0.896
xyoCK3CkABw,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,AMD stock is crashing‼️ Here is why,111829,3112,865,2026-07-27 21:19:20+03:00,0.8891
jeodJYXi4_g,UCDdVWGejfB3_M57sWv3yniQ,ProudMoney - Credit Cards & Personal Finance,BEST Credit Card Bonus Offers May 2025 💳 Best Bonuses on No Annual Fee & Annual Fee Cards 🎁,6428,187,20,2025-05-01 23:09:05+03:00,0.8853
mNAd6moQ_Co,UC-5JG7ApVwWgIIg0bDSy5_Q,Personal Finance Insider,Ken Rogoff On The Next Financial Crisis And The Future Of Bitcoin,8930,108,27,2018-01-31 23:30:14+03:00,0.885
omK_q8PHuAs,UCBxa4d96Gq2GAbIBkbw9nzg,The Personal Finance Show,COVID-19 Weekly Update 7,3,0,0,2020-05-10 22:26:35+03:00,0.8824
pFe0mS-65-A,UCo51Rs98MWHpV8EQblE9dcA,Personal Finance School,Don’t chase money blindly. Build value relentlessly. Money will chase you. #financialfreedom,3,0,0,2026-01-04 18:01:58+03:00,0.8824
ktYuYhohtQU,UCMw07uiVxGULqePlrOZnx9A,Personal Finance with Leila - Debt Over It,"All-Time High Net Worth, Got a 'Bonus,' Travel expenses | May 2026 Finance Update",7896,394,88,2026-06-07 22:13:27+03:00,0.8776
exb5SxhhvH8,UCDdVWGejfB3_M57sWv3yniQ,ProudMoney - Credit Cards & Personal Finance,"NEWS: Chase Sapphire Reserve $795 Credit Card Refresh is Official, and It's... Exhausting 😲",9209,346,97,2025-06-18 00:41:39+03:00,0.8747
y2_UWXT4N8Q,UChWBKpyL-WNwnuMdrpUvR_Q,Shihab Personal Finance,USELESS CPP CHANGES IN 2024 / CPP DEDUCTIONS / CANADA PENSION PLAN,485,8,11,2023-11-29 02:00:41+03:00,0.8745
pARPEZU93bA,UChWBKpyL-WNwnuMdrpUvR_Q,Shihab Personal Finance,How to claim a stock loss when filing your taxes,618,22,22,2023-12-14 02:00:41+03:00,0.8744
G-HYSrR8-J4,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,The best introduction to personal finance I have ever read,186620,5491,323,2025-12-07 16:00:26+03:00,0.8726
MjBHZF939mU,UC9TwYQOO9mAxoF4v8ZioySg,Tom Crosshill,Iran War Restarts – What Should European Investors Do?,50764,1204,39,2026-07-22 17:51:40+03:00,0.8717
azvdpxCzDdI,UCve6AcM_V7mnpBCl9TFjRRg,Your Personal Finance 360,The EPF Math Your Salary Slip Hides (₹1 Crore Difference),299,18,5,2026-03-19 13:30:01+03:00,0.8707
2tkXhYsGge0,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,SpaceX IPO Situation is Crazy,288716,7424,969,2026-06-11 14:00:30+03:00,0.8694
JfknibBat2A,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,Dimensional (DFA) vs. Vanguard,304543,8118,808,2025-03-02 16:00:25+03:00,0.8638
